seq_id,mean_vwc,mean_orp,mean_st
AB1,10.44166667,297.5,17.025
AB10,6.022222222,62.33333333,16.7
AB11,11.64166667,260.25,17.075
AB2,10.1,258.25,17.25
AB3,10.1,258.25,17.25
AB3,11.94166667,313,17.75
AB5,11.94166667,313,17.75
AB4,11.98333333,278,17.65
AB6,14.15,368,17.575
AB5,18.94166667,330.75,18.2
AB501,10.25833333,315.75,17.325
AB6,15.00833333,364.25,18.5
AB6',12.99166667,352,17.775
AB9,8.566666667,169.6666667,16.7
ABT14P,10.25,322.25,17.7
BB1,7.458333333,295.25,17.55
BB10,20.75,430.25,17.5
BB10',41.96666667,395.5,13.925
BB11,17,372.75,14.8
BB12,12.3,423.25,17.925
BB13,18.4,360.25,18.225
BB14,13.575,379.5,17.325
BB16,23.125,367.5,17.025
BB16',16.325,411.5,17.2
BB3,13.85,269.5,19
BB5,34.95,475.25,16
BB6,23.35,453,18.575
BB7,39.03333333,426.3333333,18.26666667
BB8,20.95,462.5,19.175
BB9,29.83333333,434.6666667,18.2
BBGT1,33.79166667,264.5,17.875
BBX1,31.10833333,194,18.5
BBX6,34.04166667,212,18.275
BBX7,32.54166667,255.75,17.875
BC1,11.75,331,15.6
BC2,15.69,410.5,15.625
BC4,13,375.25,18.05
BO1,9.6,284.25,17.675
H101,31.225,422.75,17.1
H102,33.05,430,17.35
H103,28.1,432.75,17.5
H104,27.625,403.5,17.55
H2,17.85,275.5,15.675
H3,33.85833333,292.5,17.6
H301,6.791666667,286.25,17.575
H4,33.23333333,254.75,16.6
H5 ,30.375,275.5,17.325
H8,10.6,296.5,18.375
H9,11.35833333,313.75,18.5
HX2,27.76666667,257.5,16.65
HX3,30.94166667,295,16.55
HX4,24.68333333,335.5,16.95
HX5,24.68333333,335.5,16.95
Hz1,18.83333333,293.25,19.45
ML1,13.05,292.5,18.5
ML2,12.06666667,304.5,18.75
ML3,13.28333333,352.5,18.6
MLGP,8.033333333,226,16.95
PB1,13.30833333,226.5,18.6
PB2,11.66666667,252.25,18.825
PB3,21.925,241.25,18.55
PB4,14.175,325.75,18.375
PB5,13.93333333,328.25,18.2
PB501,9.141666667,277.75,17.525
RM1,21.76666667,250.5,14.25
RM10,42.73333333,120.25,15.55
RM14,11.75833333,255,18.5
RM2,23.26666667,235.25,15.15
RM3,22.84166667,333.25,15.725
RM301,8.883333333,280.75,17.05
RM302,12.175,226.75,17.575
RM303,11.925,-19.5,17.975
RM304,7.025,216,17.725
RM4,14.24166667,326.25,15.025
RM5,11.2,314.3333333,15.175
RM501,14.69166667,326.75,16.9
RM502,15.59166667,382,17.475
RM503,8.391666667,253.25,17.7
RMS1,21.55555556,323.3333333,16.8
RO1,15.85833333,273.75,17.95
RO10,18.25833333,368.25,18.375
RO101,20.125,394.75,17.625
RO102,20.5,414.25,17.925
RO103,13.975,432.75,17.225
RO104,17.35,439,17.675
RO105,23.8,429,17.775
RO11,13.375,385.25,18.875
RO13,17.875,332.5,18.475
RO2,4.363636364,223.5,18.075
RO3,7.525,292.25,18.425
RO8,11.79166667,316,18.875
RO7,11.79166667,316,18.875
RO9,13.40833333,311.25,18.5
SH1,20.43333333,304.75,18.975
SM1,40.175,376.25,18.2
SM10,33.025,454.25,18.975
SM11,24.56666667,245.25,17.35
SM12,35.38888889,298.6666667,16.93333333
SM13,40.54444444,246,16.83333333
SM14,27.34166667,295,17.55
SM15,28.2,390,18.8
SM2,41.525,383.25,17.4
SM3,40.125,418.75,17.525
SM4,38.425,442.5,18.25
SM5,37.375,414.75,18.85
SM6,36.075,386,18.675
SM7,33.4,401,18.875
SM8,38.075,412.5,18.65
SM9,36.4,426.5,19.075
WA10,23.87777778,230,18.16666667
WA101,22.15833333,203.75,16.975
WA102,22.15833333,203.75,16.975
WA103,22.15833333,203.75,16.975
WA104,18.68888889,181,18.23333333
WA105,18.68888889,181,18.23333333
WA12,19.525,229,18.15
WA14,23.25833333,220,18.2
WA1,23.25833333,220,18.2
WAXV,23.25833333,220,18.2
WA15,25.85833333,203,17.975
WA5,30.06666667,202.25,18
WO1,17.975,332.25,15.275
WP06,9.158333333,313.5,18.425
WP08,10.90833333,262,18.4
WP101,15.375,424.5,17.95
WP102,17.3,469,18.2
WP103,13.85,414.25,18.275
WP2,21.30833333,290,16.1
WP3,33.85833333,292.5,17.6
WP4,28.95,307.5,16.45
WP401,9.75,266.25,17.525
WP402,10.60833333,167.25,16.325
WP403,14.66666667,251.25,16.9
WP5,29.00833333,182.3,16.625
WP7,10.18333333,334.5,18.6
WP9,16.44166667,352.5,18.6
WPBERNICE,20.39583333,296.25,19.525
WPX2,31.99166667,276.25,17.675
WPX22,31.99166667,276.25,17.675
WPX5,26.79166667,289.5,17.975
WPX7,24.35,318.75,18.2
YB10,20.06666667,118.5,15.675
YB11,13.16666667,241.25,15.7
YB11',29,94.25,15.85
YB12,29,94.25,15.85
YB13,29,94.25,15.85
YB14,50.6,191,15.375
YB15,23.15555556,300.75,15.15
YB2,18.56666667,-26.75,15.65
YB3,13.26666667,303.5,18.1
YB4,17.875,423,18
YB5,43.98333333,288,14.9
YB9,19.5,182,15.75
YBCUL8R,33.66666667,286.875,18.825
YBYB,8.558333333,345.75,18.05
